                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77867,                0.52372,                 1.1638,                0.85806,                0.82063,                0.86598,                0.67271,                0.79593,                0.58726,                 1.1248,               0.008317,               0.008317,               0.008317
                     36,                0.78368,                0.53418,                 1.1693,                0.90116,                0.81448,                0.88099,                0.66847,                0.90342,                0.60116,                  1.236,              0.0082675,              0.0082675,              0.0082675
                     37,                0.77724,                0.52643,                 1.1746,                 0.9148,                0.84163,                0.88986,                0.67563,                0.90821,                0.65181,                 1.2529,               0.008218,               0.008218,               0.008218
                     38,                0.78209,                 0.5268,                 1.1749,                0.88852,                0.80995,                0.85963,                0.67199,                0.78583,                0.64999,                 1.1213,              0.0081685,              0.0081685,              0.0081685
                     39,                0.79276,                0.54166,                 1.1691,                0.92999,                0.78141,                0.87666,                 0.6391,                0.91464,                0.66171,                 1.2394,               0.008119,               0.008119,               0.008119
                     40,                0.78698,                0.51974,                 1.1619,                 0.8693,                0.81259,                0.87215,                0.67743,                0.74979,                0.60714,                 1.1426,              0.0080695,              0.0080695,              0.0080695
                     41,                0.78605,                0.51369,                 1.1577,                0.83361,                0.81613,                0.85794,                0.65757,                0.72842,                0.68818,                 1.0976,                0.00802,                0.00802,                0.00802
                     42,                0.75677,                0.49686,                 1.1508,                0.89936,                0.80995,                0.88524,                0.70632,                0.71341,                0.58877,                 1.1044,              0.0079705,              0.0079705,              0.0079705
                     43,                0.77782,                0.51649,                 1.1673,                 0.9353,                0.78496,                0.86696,                0.69199,                0.78225,                0.58436,                 1.0998,               0.007921,               0.007921,               0.007921
                     44,                0.76784,                0.51603,                 1.1695,                0.86502,                 0.8371,                0.87099,                0.68871,                0.77089,                0.59213,                 1.1212,              0.0078715,              0.0078715,              0.0078715
                     45,                0.76936,                0.51051,                 1.1577,                 0.8678,                0.82805,                0.87843,                0.68887,                0.71253,                0.60765,                 1.1134,               0.007822,               0.007822,               0.007822
                     46,                0.76273,                0.50852,                 1.1532,                0.87968,                0.81448,                0.86527,                0.65323,                0.85207,                0.68842,                 1.1461,              0.0077725,              0.0077725,              0.0077725
                     47,                0.71881,                0.47288,                 1.1517,                0.90276,                0.75615,                0.83233,                0.61595,                 1.0114,                 0.7507,                 1.2588,               0.007723,               0.007723,               0.007723
                     48,                0.76974,                0.50479,                 1.1534,                0.87175,                0.82805,                0.87211,                0.68574,                0.88262,                0.60809,                 1.1312,              0.0076735,              0.0076735,              0.0076735
                     49,                0.74702,                0.48531,                 1.1346,                0.86963,                0.83258,                0.87187,                0.68879,                0.80046,                0.62156,                 1.1253,               0.007624,               0.007624,               0.007624
                     50,                0.73381,                0.47782,                 1.1408,                0.87247,                0.78733,                0.84541,                   0.68,                0.71906,                0.64951,                 1.1012,              0.0075745,              0.0075745,              0.0075745
                     51,                0.73199,                 0.4833,                 1.1518,                0.85806,                0.77828,                 0.8523,                0.67215,                0.80132,                0.63649,                 1.1299,               0.007525,               0.007525,               0.007525
                     52,                0.73573,                 0.4959,                 1.1525,                 0.9245,                0.80543,                0.89158,                 0.6968,                0.77748,                0.55994,                 1.1082,              0.0074755,              0.0074755,              0.0074755
                     53,                0.74747,                0.48641,                 1.1388,                0.85799,                0.85068,                0.88269,                0.70516,                0.74232,                 0.6073,                 1.1103,               0.007426,               0.007426,               0.007426
                     54,                0.71325,                0.45869,                   1.13,                0.91345,                0.82805,                0.87921,                0.69937,                0.82296,                0.60807,                 1.1272,              0.0073765,              0.0073765,              0.0073765
                     55,                0.72442,                0.46287,                 1.1295,                0.91687,                0.79852,                0.86781,                0.68499,                0.78323,                0.60673,                 1.1055,               0.007327,               0.007327,               0.007327
