                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.45489,                0.30326,                0.99127,                0.88402,                 0.8009,                0.86144,                0.71779,                0.63752,                0.57483,                 1.0129,              0.0024265,              0.0024265,              0.0024265
                    155,                0.44367,                 0.2997,                0.98945,                0.90825,                0.76923,                0.86314,                0.72033,                0.61555,                0.56177,                 1.0128,               0.002377,               0.002377,               0.002377
                    156,                0.45735,                0.29953,                0.97725,                0.86701,                 0.8009,                0.86558,                0.71462,                0.60677,                0.56081,                 1.0116,              0.0023275,              0.0023275,              0.0023275
                    157,                0.46257,                0.30268,                0.99472,                0.86969,                0.81535,                0.87336,                 0.7199,                0.61071,                0.55534,                  1.013,               0.002278,               0.002278,               0.002278
                    158,                0.45767,                0.29193,                0.97726,                0.88331,                0.82207,                0.87354,                0.72017,                0.61425,                0.54695,                 1.0157,              0.0022285,              0.0022285,              0.0022285
                    159,                0.44232,                 0.2856,                0.97188,                0.84826,                0.83258,                0.86961,                0.72681,                0.58129,                0.51472,                 1.0059,               0.002179,               0.002179,               0.002179
                    160,                0.46062,                0.29426,                 0.9839,                0.82395,                0.84615,                0.86814,                0.72166,                 0.6245,                0.54562,                 1.0203,              0.0021295,              0.0021295,              0.0021295
                    161,                0.45397,                0.29999,                0.97161,                0.89809,                0.79752,                0.86652,                0.72916,                0.58422,                0.55116,                 1.0119,                0.00208,                0.00208,                0.00208
                    162,                0.46604,                0.30015,                0.98828,                0.87862,                0.81881,                0.86361,                0.72297,                0.62884,                0.56032,                 1.0206,              0.0020305,              0.0020305,              0.0020305
                    163,                0.43618,                 0.2853,                0.97841,                0.90087,                0.79186,                0.85747,                0.71182,                0.64721,                0.57875,                 1.0382,               0.001981,               0.001981,               0.001981
                    164,                 0.4632,                0.29574,                0.99096,                0.88586,                0.79638,                0.86307,                0.71852,                0.64659,                  0.569,                 1.0342,              0.0019315,              0.0019315,              0.0019315
                    165,                0.45951,                0.29538,                0.97942,                0.88488,                0.79638,                0.86877,                0.72282,                0.63906,                0.56662,                 1.0181,               0.001882,               0.001882,               0.001882
                    166,                0.46623,                0.29408,                0.98043,                0.89968,                0.79186,                0.86514,                0.71859,                0.59395,                0.57382,                 1.0056,              0.0018325,              0.0018325,              0.0018325
                    167,                0.44718,                0.28399,                0.98856,                0.90963,                0.78281,                0.86234,                0.72052,                0.59621,                0.53747,                0.99894,               0.001783,               0.001783,               0.001783
                    168,                0.44154,                0.28775,                0.97907,                 0.8831,                0.79186,                0.84873,                0.71691,                0.60603,                0.57697,                0.99081,              0.0017335,              0.0017335,              0.0017335
                    169,                0.44301,                0.28485,                0.98012,                0.86691,                0.77828,                0.84906,                0.71089,                0.64008,                0.59007,                 1.0142,               0.001684,               0.001684,               0.001684
                    170,                 0.4345,                0.28619,                0.96735,                0.83572,                0.82867,                0.86262,                0.72279,                0.64523,                0.53099,                 1.0226,              0.0016345,              0.0016345,              0.0016345
                    171,                0.44389,                0.28321,                0.97738,                0.84806,                0.83348,                0.86584,                0.72844,                0.62325,                0.50499,                 1.0194,               0.001585,               0.001585,               0.001585
                    172,                0.42949,                0.28423,                0.96774,                0.88175,                0.78733,                0.85464,                0.71991,                0.62045,                0.54381,                 1.0151,              0.0015355,              0.0015355,              0.0015355
                    173,                0.43234,                0.27702,                0.97128,                0.85833,                0.80995,                0.86138,                0.72344,                0.62246,                0.53828,                  1.014,               0.001486,               0.001486,               0.001486
                    174,                 0.4359,                 0.2804,                0.97699,                0.84704,                0.80995,                0.86414,                0.72505,                0.61922,                0.52028,                 1.0137,              0.0014365,              0.0014365,              0.0014365
                    175,                0.42467,                0.27487,                0.96344,                 0.8525,                0.81069,                0.86524,                0.72375,                0.61745,                0.54455,                 1.0214,               0.001387,               0.001387,               0.001387
                    176,                0.41864,                 0.2739,                0.96525,                0.86709,                0.79702,                0.86725,                0.72545,                0.64704,                0.55932,                 1.0333,              0.0013375,              0.0013375,              0.0013375
                    177,                0.42813,                0.27913,                0.97528,                0.86816,                0.80447,                0.86769,                0.72405,                 0.6609,                0.55871,                 1.0443,               0.001288,               0.001288,               0.001288
                    178,                0.41397,                0.27396,                0.97655,                0.84016,                0.83245,                0.86683,                0.72426,                0.65301,                0.55177,                  1.037,              0.0012385,              0.0012385,              0.0012385
                    179,                0.41166,                0.27238,                0.97575,                0.84906,                0.83993,                0.86613,                 0.7209,                0.64184,                0.52226,                 1.0256,               0.001189,               0.001189,               0.001189
                    180,                0.41894,                0.27413,                0.96647,                0.87541,                0.82661,                0.87127,                0.72312,                0.63651,                 0.5094,                 1.0245,              0.0011395,              0.0011395,              0.0011395
                    181,                0.42777,                0.28223,                0.97186,                0.86898,                0.80543,                0.86599,                0.72096,                0.63119,                0.51295,                 1.0232,                0.00109,                0.00109,                0.00109
                    182,                0.42099,                0.27145,                0.97537,                0.84552,                0.81448,                0.85892,                0.72283,                0.63722,                0.52397,                 1.0219,              0.0010405,              0.0010405,              0.0010405
                    183,                 0.4031,                0.26585,                0.96709,                0.85899,                0.79937,                0.85827,                0.72137,                 0.6383,                0.54893,                 1.0241,               0.000991,               0.000991,               0.000991
                    184,                0.40305,                0.26618,                0.95831,                0.84847,                0.81075,                 0.8595,                0.72047,                0.64016,                0.57071,                 1.0309,              0.0009415,              0.0009415,              0.0009415
                    185,                0.40092,                0.25977,                0.96638,                0.85113,                0.80543,                0.85785,                0.71731,                0.63914,                0.57502,                 1.0297,               0.000892,               0.000892,               0.000892
                    186,                0.40559,                 0.2678,                0.96383,                0.89376,                0.78281,                0.85925,                0.72064,                 0.6396,                0.56925,                 1.0293,              0.0008425,              0.0008425,              0.0008425
                    187,                0.40425,                0.26699,                0.95761,                0.89566,                0.77685,                0.85935,                0.72313,                0.63884,                  0.561,                 1.0305,               0.000793,               0.000793,               0.000793
